Matrix,Time(ns)
lowThrust_2,8529.0
lp_fit2p,11952.0
uk,8336.0
n2c6-b2,5275.0
robot24c1_mat5_J,6441.0
mark3jac020sc,14304.0
reorientation_6,10426.0
xingo_afonso_itaipu,13127.0
G13,6683.0
rdb2048_noL,6703.0
nasa2910,23279.0
Trefethen_2000,9916.0
fpga_dcop_20,6331.0
deter3,11806.0
adder_dcop_64,7427.0
freeFlyingRobot_15,12065.0
dynamicSoaringProblem_4,10256.0
gams10am,4710.0
g7jac040,24193.0
n3c6-b6,14901.0
deltaX,55693.0
GL7d25,17558.0
CAG_mat1916,23394.0
fs_541_4,5368.0
lp_lotfi,4959.0
c-26,12770.0
bp_1000,7583.0
pf2177,12934.0
Chem97ZtZ,7465.0
lshp3466,10059.0
p2p-Gnutella31,30525.0
ex1,5747.0
rdb200,5315.0
IG5-11,9874.0
kineticBatchReactor_3,12975.0
adder_dcop_57,7188.0
wm2,5353.0
G43,7192.0
Maragal_2,6164.0
mbeacxc,10477.0
tumorAntiAngiogenesis_1,6250.0
ex3sta1,19880.0
pivtol,5275.0
lhr71,123676.0
adder_dcop_20,5721.0
spaceStation_7,6746.0
mark3jac080sc,49196.0
west0989,5601.0
dwt_1242,6345.0
gyro,101076.0
IG5-14,28783.0
ri2010,46780.0
lund_b,4858.0
dw2048,6671.0
orbitRaising_4,6870.0
coater2,34652.0
af_5_k101,2168430.0
turon_m,264743.0
fpga_dcop_01,6126.0
ex29,7490.0
G37,7171.0
G5,7580.0
coater1,6835.0
olm1000,4641.0
cavity09,7732.0
adder_dcop_59,7302.0
well1033,5248.0
rajat14,5062.0
bcsstm06,4449.0
bibd_49_3,11519.0
dwt_87,5186.0
lowThrust_7,39785.0
will199,4775.0
nopss_11k,15073.0
bfwb398,5908.0
af_shell3,2195330.0
fpga_dcop_36,5329.0
rajat19,6069.0
lpi_reactor,5040.0
ccc,28188.0
Tina_DisCog,4289.0
nemswrld,27412.0
wiki-Vote,20479.0
bayer09,9574.0
as-735,10300.0
stat96v5,25641.0
G44,7781.0
epb0,6234.0
lhr11,29693.0
Wordnet3,61935.0
spaceShuttleEntry_1,5640.0
jpwh_991,5806.0
bcsstm22,4714.0
n4c6-b4,25768.0
n3c4-b1,4430.0
robot,5104.0
ex20,14464.0
p2p-Gnutella08,9925.0
oscil_dcop_50,5255.0
wang4,32833.0
ck400,5624.0
mesh2em5,5172.0
rajat09,26050.0
G57,7123.0
adder_dcop_09,7295.0
tumorAntiAngiogenesis_2,5954.0
usps_norm_5NN,19982.0
shermanACa,10139.0
can_1054,7185.0
raefsky6,20695.0
gams30am,5681.0
commanche_dual,11641.0
fpga_trans_02,8574.0
zeros_nopss_13k,16766.0
oscil_dcop_10,6481.0
fpga_trans_01,7681.0
laser,6848.0
oscil_dcop_18,5416.0
lpi_greenbea,11594.0
reorientation_8,11176.0
fpga_dcop_19,8002.0
lp_recipe,4873.0
stoch_aircraft,9653.0
FA,16273.0
grid2,8811.0
ch6-6-b5,6161.0
dwt_162,4875.0
ch6-6-b1,4651.0
nos2,5336.0
n4c5-b5,10007.0
mk11-b4b,14589.0
fpga_dcop_43,6747.0
lnsp3937,9280.0
bcsstk22,4894.0
jagmesh2,5401.0
oscil_dcop_56,5003.0
tumorAntiAngiogenesis_5,6914.0
mk10-b1,4591.0
sherman1,5114.0
tumorAntiAngiogenesis_7,5598.0
descriptor_xingo6u,21642.0
route,32170.0
TSOPF_RS_b2383,1739660.0
bcsstm02,4161.0
lp_scfxm2,6130.0
lock_700,6962.0
deter5,8049.0
cavity06,7430.0
bcsstk06,6053.0
lpi_klein2,4592.0
language,478547.0
sphere3,4855.0
scsd8-2b,20182.0
radfr1,6915.0
M40PI_n1,6676.0
hvdc2,357589.0
Zd_Jac6,125333.0
lock1074,11456.0
cavity17,21534.0
scagr7-2b,13502.0
spaceStation_6,8824.0
adder_dcop_63,9127.0
fv2,18572.0
flower_4_1,5684.0
G15,6546.0
Trec9,5133.0
li,114281.0
Stranke94,4319.0
fpga_dcop_10,8189.0
reorientation_4,10822.0
ex12,16312.0
bp_800,8212.0
freeFlyingRobot_9,11733.0
bcsstk19,8436.0
G54,6843.0
lp_grow22,6534.0
chem_master1,42501.0
umistfacesnorm_10NN,5499.0
cis-n4c6-b13,15604.0
msc04515,17824.0
poisson2D,5428.0
fpga_dcop_25,5381.0
ted_B_unscaled,20334.0
lowThrust_1,5611.0
lp_degen3,8495.0
GL6_D_10,5035.0
GD99_b,4551.0
spaceStation_3,6053.0
iprob,7556.0
Zewail,13215.0
Franz3,5862.0
LeGresley_2508,9495.0
bips98_1450,14081.0
mycielskian9,7760.0
lp_pds_02,9858.0
stufe-10,19647.0
p2756,6838.0
g7jac050sc,38656.0
Franz10,25709.0
yeast,6787.0
ex23,11221.0
msc23052,108248.0
bcsstk11,9896.0
S10PI_n1,5205.0
dwt_419,4872.0
t2dal,21895.0
adder_dcop_66,9127.0
aa5,13269.0
fpga_dcop_33,8553.0
GD95_a,4385.0
bibd_15_7,15389.0
ch7-6-b1,6015.0
mixtank_new,166948.0
freeFlyingRobot_13,9957.0
bibd_9_3,4524.0
delaunay_n10,5277.0
Muu,23479.0
adder_trans_02,8792.0
dwt_878,6631.0
spaceStation_9,9794.0
pores_2,7143.0
soc-sign-bitcoin-otc,12404.0
tols90,4477.0
can_62,4526.0
GD98_c,4587.0
dendrimer,11518.0
deter0,7865.0
olm500,5661.0
lp_pds_20,88968.0
t2dah,28176.0
msc01440,12333.0
qh882,7085.0
adder_dcop_54,7669.0
TF12,6569.0
bcsstk07,6492.0
pores_3,5800.0
Goodwin_010,9965.0
Chebyshev3,12671.0
nemsafm,6744.0
zed,4565.0
G32,7791.0
fs_760_2,6656.0
