Matrix,1 Threads
cdde2,5446.0
cdde3,5505.0
cdde4,5470.0
cdde5,5452.0
cdde6,5458.0
cegb3024,52849.0
cegb3306,48405.0
celegans_metabolic,3684.0
celegansneural,2720.0
cell1,38488.0
cell2,38674.0
cep1,7620.0
cfd1,1236620.0
ch,19375.0
ch3-3-b1,634.0
ch3-3-b2,625.0
ch4-4-b1,744.0
ch4-4-b2,1006.0
ch4-4-b3,692.0
ch5-5-b1,978.0
ch5-5-b2,2927.0
ch5-5-b3,2234.0
ch5-5-b4,1266.0
ch6-6-b1,1484.0
ch6-6-b2,9474.0
ch6-6-b3,14783.0
ch6-6-b4,23493.0
ch6-6-b5,4283.0
ch7-6-b1,1822.0
ch7-6-b2,16080.0
ch7-6-b3,34942.0
ch7-6-b4,80730.0
ch7-6-b5,25490.0
ch7-7-b1,2296.0
ch7-7-b2,27538.0
ch7-7-b5,182386.0
ch7-8-b1,2795.0
ch7-8-b2,43448.0
ch7-8-b3,155129.0
ch7-9-b1,3372.0
ch7-9-b2,64767.0
ch8-8-b1,3504.0
ch8-8-b2,69294.0
chem_master1,213313.0
chesapeake,935.0
circuit204,5880.0
circuit_1,24478.0
circuit_2,15688.0
circuit_3,48910.0
cis-n4c6-b1,1006.0
cis-n4c6-b13,60784.0
cis-n4c6-b14,10190.0
cis-n4c6-b15,1184.0
cis-n4c6-b2,5602.0
cis-n4c6-b3,16107.0
cis-n4c6-b4,105839.0
ck104,1428.0
ck400,2928.0
ck656,3744.0
cnae9_10NN,13532.0
co5,38325.0
co9,113148.0
coater1,13509.0
coater2,228212.0
collins_15NN,10925.0
commanche_dual,21244.0
complex,24649.0
comsol,54725.0
cond-mat,253974.0
cond-mat-2003,569960.0
copter1,159812.0
coupled,203981.0
cq5,33673.0
cq9,97495.0
cr42,5740.0
crack,70048.0
crack_dual,75004.0
crankseg_1,9355750.0
crankseg_2,12993300.0
crashbasis,1304080.0
crew1,20003.0
cryg10000,53655.0
cryg2500,13376.0
crystk03,976874.0
crystm01,66146.0
cs4,80459.0
cti,89012.0
curtis54,862.0
cvxqp3,90469.0
cz10228,99715.0
cz1268,11238.0
cz148,1890.0
cz20468,252197.0
cz2548,19332.0
cz308,3111.0
cz5108,39881.0
cz628,5278.0
d_dyn,881.0
d_dyn1,866.0
d_pretok,1560920.0
d_ss,788.0
dano3mip,47650.0
data,21806.0
dataset12mfeatfactors_10NN,21448.0
dataset16mfeatkarhunen_10NN,19168.0
dataset18mfeatmorphological_10NN,16724.0
dataset20mfeatpixel_10NN,19503.0
dataset22mfeatzernike_10NN,19598.0
dawson5,1085760.0
dbic1,1344270.0
dbir1,660060.0
dbir2,703150.0
de063155,4801.0
de063157,5247.0
de080285,5131.0
de2010,335827.0
delaunay_n10,6150.0
delaunay_n11,11297.0
delaunay_n12,22250.0
delaunay_n13,106472.0
delaunay_n14,246647.0
delaunay_n15,488179.0
delf,14302.0
deltaX,277964.0
dendrimer,34520.0
denormal,804074.0
dermatology_5NN,2803.0
descriptor_xingo6u,160144.0
deter0,10398.0
deter1,25927.0
deter2,28765.0
deter3,34017.0
deter4,15805.0
deter5,26154.0
deter6,19260.0
deter7,28364.0
deter8,18675.0
df2177,15122.0
diag,8025.0
dictionary28,541076.0
divorce,812.0
dolphins,899.0
dtoc,82746.0
dw1024,10670.0
dw2048,10753.0
dw256A,3139.0
dw256B,3143.0
dw4096,43104.0
dw8192,43361.0
dwa512,3105.0
dwb512,3142.0
dwt_1005,8712.0
dwt_1007,7603.0
dwt_1242,8842.0
dwt_162,1633.0
dwt_193,2928.0
dwt_198,1854.0
dwt_209,2131.0
dwt_221,2086.0
dwt_234,1552.0
dwt_245,1957.0
dwt_2680,20332.0
dwt_307,2743.0
dwt_310,2682.0
dwt_346,3191.0
dwt_361,3100.0
dwt_419,3465.0
dwt_492,3381.0
dwt_503,5025.0
dwt_512,3589.0
dwt_59,879.0
dwt_592,4742.0
dwt_607,4760.0
dwt_66,910.0
dwt_72,860.0
dwt_758,5589.0
dwt_869,6434.0
dwt_87,1093.0
dwt_878,6673.0
dwt_918,6542.0
dwt_992,11190.0
dynamicSoaringProblem_1,4850.0
dynamicSoaringProblem_2,11819.0
dynamicSoaringProblem_3,22774.0
dynamicSoaringProblem_4,27224.0
dynamicSoaringProblem_5,26322.0
dynamicSoaringProblem_6,27250.0
dynamicSoaringProblem_7,27348.0
dynamicSoaringProblem_8,27561.0
e18,235107.0
email,8605.0
email-Eu-core,14506.0
email-Eu-core-temporal,15529.0
epb0,8732.0
epb1,78820.0
epb2,141872.0
eris1176,12020.0
eurqsa,39285.0
ex1,4646.0
ex10,34710.0
ex10hs,35435.0
ex11,704915.0
ex12,51024.0
ex13,44204.0
ex14,43525.0
ex15,68453.0
ex18,51947.0
ex2,15525.0
ex20,48520.0
ex21,11935.0
ex22,15402.0
ex23,27797.0
ex24,33919.0
ex25,15344.0
ex26,59357.0
ex27,23721.0
ex28,47844.0
ex29,20923.0
ex3,32052.0
ex31,80079.0
ex32,9302.0
ex33,16236.0
ex35,186019.0
ex36,36806.0
ex37,49218.0
ex3sta1,73968.0
ex4,20705.0
ex5,826.0
ex6,31592.0
ex7,31458.0
ex8,63963.0
ex9,61360.0
extr1,11931.0
extr1b,11949.0
f855_mat9,106874.0
f855_mat9_I,107158.0
farm,627.0
fd12,30386.0
fd15,46759.0
fd18,66524.0
fe_4elt2,70649.0
fe_sphere,80455.0
filter2D,9804.0
flower_4_1,1096.0
flower_4_4,13191.0
flower_5_1,1281.0
flower_5_4,57164.0
flower_7_1,2020.0
flower_7_4,462005.0
flower_8_1,2501.0
flowmeter0,66480.0
flowmeter5,61751.0
foldoc,249655.0
fome11,167978.0
fome12,394899.0
fome20,558913.0
football,740.0
ford1,169959.0
fpga_dcop_01,6282.0
fpga_dcop_02,6237.0
fpga_dcop_03,6254.0
fpga_dcop_04,6284.0
fpga_dcop_05,6304.0
fpga_dcop_06,6252.0
fpga_dcop_07,6204.0
fpga_dcop_08,6331.0
fpga_dcop_09,6337.0
fpga_dcop_10,6233.0
fpga_dcop_11,6241.0
fpga_dcop_12,6254.0
fpga_dcop_13,6229.0
fpga_dcop_14,6245.0
fpga_dcop_15,6307.0
fpga_dcop_16,6240.0
fpga_dcop_17,6312.0
fpga_dcop_18,6270.0
fpga_dcop_19,6228.0
fpga_dcop_20,6307.0
fpga_dcop_21,6226.0
fpga_dcop_22,6322.0
fpga_dcop_23,6270.0
fpga_dcop_24,6328.0
fpga_dcop_25,6219.0
fpga_dcop_26,6414.0
fpga_dcop_27,6261.0
fpga_dcop_28,6232.0
fpga_dcop_29,6256.0
fpga_dcop_30,6377.0
fpga_dcop_31,6306.0
fpga_dcop_32,6293.0
fpga_dcop_33,6324.0
fpga_dcop_34,6342.0
fpga_dcop_35,6226.0
fpga_dcop_36,6361.0
fpga_dcop_37,6385.0
fpga_dcop_38,6244.0
fpga_dcop_39,6336.0
fpga_dcop_40,6234.0
fpga_dcop_41,6247.0
fpga_dcop_42,6250.0
fpga_dcop_43,6246.0
fpga_dcop_44,6249.0
fpga_dcop_45,6280.0
fpga_dcop_46,6288.0
fpga_dcop_47,6222.0
fpga_dcop_48,6315.0
fpga_dcop_49,6302.0
fpga_dcop_50,6256.0
fpga_dcop_51,6267.0
fpga_trans_01,7095.0
fpga_trans_02,7050.0
freeFlyingRobot_1,5042.0
freeFlyingRobot_10,31679.0
freeFlyingRobot_11,32409.0
freeFlyingRobot_12,34395.0
freeFlyingRobot_13,35937.0
freeFlyingRobot_14,35114.0
freeFlyingRobot_15,35307.0
freeFlyingRobot_16,35602.0
freeFlyingRobot_2,9446.0
freeFlyingRobot_3,10915.0
freeFlyingRobot_4,14984.0
freeFlyingRobot_5,19165.0
freeFlyingRobot_6,21209.0
freeFlyingRobot_7,24804.0
freeFlyingRobot_8,27633.0
freeFlyingRobot_9,30664.0
fs_183_1,1631.0
fs_183_3,1556.0
fs_183_4,1524.0
fs_183_6,1538.0
fs_541_1,4181.0
fs_541_2,4151.0
fs_541_3,4174.0
fs_541_4,4115.0
fs_680_1,3330.0
fs_680_2,3324.0
fs_680_3,3408.0
fs_760_1,5427.0
fs_760_2,5395.0
fs_760_3,5330.0
fv1,68829.0
fv2,70799.0
fv3,71895.0
fxm2-16,25045.0
fxm2-6,10285.0
fxm3_6,55356.0
g3rmt3m3,118593.0
g7jac010,16420.0
g7jac010sc,16686.0
g7jac020,36617.0
g7jac020sc,36097.0
g7jac040,158664.0
g7jac040sc,159364.0
g7jac050sc,204540.0
g7jac060,283313.0
g7jac060sc,284326.0
gams10a,1143.0
gams10am,1138.0
gams30a,2160.0
gams30am,2163.0
gams60am,4842.0
garon1,54271.0
gas11,2923.0
gas_sensor,1063240.0
ge,66491.0
gemat1,45356.0
gemat11,28426.0
gemat12,28616.0
gen,34760.0
gen1,34121.0
gen2,51398.0
gen4,65583.0
gent113,1259.0
geom,28719.0
goddardRocketProblem_1,6455.0
goddardRocketProblem_2,6820.0
gr_30_30,6822.0
graphics,83300.0
gre_1107,5844.0
gre_115,1159.0
gre_185,1607.0
gre_216a,1542.0
